ID,"Zeměpisná délka A","Zeměpisná délka B","Zeměpisná šířka A","Zeměpisná šířka B","Výška A","Výška B","Zisk antény A - DBI","Zisk antény B - DBI","Kmitočet A - MHz","Kmitočet B - MHz","Šířka zabraného pásma A","Šířka zabraného pásma B","Střední výkon A","Střední výkon B",Polarizace,Vzdálenost
13044,16.2036,16.1947,49.1233,49.1158,30,15,46,50.5,84625,74625,1000,1000,13,13,Vertikální,1.06
13045,16.4653,16.4847,49.3322,49.3197,30,30,50.5,50.5,71625,81625,1000,1000,13,13,Vertikální,1.98
13046,16.1236,16.135,49.1261,49.0953,16,122,46,46,71625,81625,1000,1000,15,15,Vertikální,3.53
13047,15.9533,15.8947,49.1244,49.0983,55,40,50.5,50.5,72125,82125,2000,2000,20,20,Vertikální,5.16
13048,15.88,15.9533,49.1389,49.1244,27,55,50.5,50.5,81625,71625,1000,1000,23,23,Vertikální,5.57
13049,15.9722,15.9533,49.1006,49.1244,26,55,50.5,50.5,84625,74625,1000,1000,14,14,Vertikální,2.99
13050,15.8433,15.8736,49.2075,49.2094,28,23,50.5,46,84625,74625,1000,1000,13,13,Vertikální,2.21
13051,15.8803,15.8736,49.2131,49.2094,30,30,46,46,82125,72125,2000,2000,10,10,Vertikální,0.63
13052,15.8806,15.8803,49.2156,49.2131,27,26,46,46,74625,84625,1000,1000,13,13,Vertikální,0.28
13053,15.8983,15.8803,49.2178,49.2131,23,29,50.5,46,74125,84125,2000,2000,10,10,Vertikální,1.41
13054,15.7189,15.7892,49.0283,49.0083,30,30,50.5,50.5,71625,81625,1000,1000,23,23,Vertikální,5.59
13055,15.7133,15.6694,49.1297,49.1311,40,30,50.5,50.5,71625,81625,1000,1000,14,14,Vertikální,3.2
13056,15.7394,15.8256,49.3003,49.3164,30,30,50.5,50.5,71625,81625,1000,1000,26,26,Vertikální,6.49
13057,16.1444,16.1492,49.2644,49.2117,30,30,50.5,50.5,81625,71625,1000,1000,23,23,Vertikální,5.88
13058,16.2594,16.2689,49.2075,49.1892,30,45,46,50.5,84625,74625,1000,1000,14,14,Vertikální,2.15
13059,16,15.9481,49.2517,49.2922,19,30,50.5,50.5,81625,71625,1000,1000,23,23,Vertikální,5.88
13060,16.3928,16.3739,49.9956,49.9603,13,38,50.5,50.5,72125,82125,2000,2000,23,23,Vertikální,4.15
13061,16.7564,16.7692,50.095,50.0789,20,30,46,46,71500,81500,750,750,15,15,Vertikální,2.01
13062,15.5853,15.5883,49.3992,49.41,25,30,46,46,74625,84625,1000,1000,13,13,Vertikální,1.22
13063,15.7611,15.7697,49.4417,49.4447,38,12,46,46,84625,74625,1000,1000,13,13,Vertikální,0.71
13064,14.6306,14.6556,49.9811,49.9453,21,30,43.5,50.5,81250,71250,250,250,18,18,Vertikální,4.37
13065,15.4936,15.4539,49.4331,49.4694,30,45,50.5,50.5,81625,71625,1000,1000,22,22,Vertikální,4.96
13066,14.5697,14.5622,50.0231,50.0319,10,38,43.5,43.5,81250,71250,250,250,11,11,Vertikální,1.12
13067,14.5433,14.5489,50.6844,50.6853,15,21,46,46,71250,81250,250,250,11,11,Vertikální,0.4
13068,13.6914,13.7447,50.1797,50.2047,12,30,50.5,50.5,82000,72000,250,250,14,14,Vertikální,4.7
13069,16.9792,16.9681,49.9583,49.9683,45,37,50.5,50.5,72125,82125,2000,2000,10,10,Vertikální,1.37
13070,16.3972,16.3739,49.9247,49.9603,12,35,46,50.5,81750,71750,250,250,18,18,Vertikální,4.29
13071,16.9536,16.8797,49.8908,49.8808,43,33,50.5,50.5,71625,81625,1000,1000,23,23,Vertikální,5.41
13072,18.2878,18.2806,49.8325,49.8308,32.7,5,43.5,43.5,72000,82000,250,250,11,11,Vertikální,0.55
13073,16.9025,16.8517,49.85,49.8633,28,50,50.5,50.5,81250,71250,250,250,11,11,Vertikální,3.93
13074,17.1517,17.1278,49.9353,49.8961,40,45,50.5,50.5,81625,71625,1000,1000,23,23,Vertikální,4.68
13075,15.0736,15.0542,50.5758,50.5728,12,27,43.5,43.5,71250,81250,250,250,18,18,Vertikální,1.41
13076,17.9353,17.9028,49.9267,49.9344,35,27,50.5,50.5,74625,84625,1000,1000,20,20,Vertikální,2.48
13077,17.8822,17.8939,49.9331,49.9303,30,60,46,46,84625,74625,1000,1000,20,20,Vertikální,0.89
13078,17.8264,17.8697,49.9475,49.9608,30,40,50.5,50.5,81625,71625,1000,1000,20,20,Vertikální,3.44
13079,17.6961,17.6831,49.8303,49.8319,40,15,46,46,81625,71625,1000,1000,20,20,Vertikální,0.95
13080,17.7878,17.7556,49.96,49.9642,11,35,46,50.5,84625,74625,1000,1000,20,20,Vertikální,2.35
13081,17.8672,17.89,49.9125,49.9256,15,32,43.8,50.5,74625,84625,1000,1000,14,14,Vertikální,2.18
13082,18.0406,18.0414,49.9856,49.9606,20,28,50.5,50.5,81625,71625,1000,1000,13,13,Vertikální,2.78
13083,17.8689,17.8958,49.9486,49.9428,28,45,43.8,50.5,74625,84625,1000,1000,14,14,Vertikální,2.03
13084,17.8825,17.8728,49.8333,49.7919,40,30,50.5,50.5,81625,71625,1000,1000,23,23,Vertikální,4.65
13085,13.8844,13.8794,49.8656,49.8614,19,27,43.5,43.5,85500,75500,250,250,11,11,Horizontální,0.59
13086,16.6603,16.6808,49.7983,49.7756,30,30,50.5,50.5,72125,82125,2000,2000,14,14,Vertikální,2.93
13087,16.6406,16.6481,49.6619,49.6739,40,30,46,46,71250,81250,250,250,15,15,Vertikální,1.43
13088,16.5286,16.5164,49.6486,49.6458,40,12,46,46,72625,82625,1000,1000,13,13,Vertikální,0.93
13089,16.3128,16.2669,49.9172,49.9328,25,25,46,46,71625,81625,1000,1000,26,26,Vertikální,3.71
13090,16.3053,16.27,49.7253,49.7136,30,35,46,50.5,84125,74125,2000,2000,23,23,Vertikální,2.85
13091,16.2536,16.27,49.7194,49.7136,50,36,46,46,81625,71625,1000,1000,15,15,Vertikální,1.34
13092,16.2889,16.3053,49.8786,49.8686,72,27,50.5,50.5,72125,82125,2000,2000,21,21,Vertikální,1.62
13093,16.2428,16.2889,49.8831,49.8786,30,72,46,50.5,81375,71375,500,500,23,23,Vertikální,3.34
13094,16.6808,16.665,49.7756,49.7586,25,25,46,46,82125,72125,2000,2000,22,22,Vertikální,2.2
13095,16.6808,16.6611,49.7756,49.7564,25,30,46,50.5,84625,74625,1000,1000,23,23,Vertikální,2.56
13096,16.2247,16.2586,49.2711,49.2744,25,26,50.5,50.5,74625,84625,1000,1000,13,13,Vertikální,2.49
13097,15.8881,15.9439,49.3981,49.3769,15,25,50.5,50.5,84625,74625,1000,1000,23,23,Vertikální,4.67
13098,16.2597,16.2575,49.5247,49.5144,20,25,46,46,84625,74625,1000,1000,20,20,Vertikální,1.15
13099,15.8425,15.8361,49.5386,49.5744,30,30,50.5,50.5,84625,74625,1000,1000,22,22,Vertikální,4.01
13100,16.1778,16.2217,49.5031,49.4803,30,50,50.5,50.5,74625,84625,1000,1000,22,22,Vertikální,4.06
13101,16.4839,16.4683,49.7603,49.7642,17,40,43.5,43.5,71375,81375,500,500,18,18,Vertikální,1.2
13102,16.2661,16.2647,49.3897,49.4328,30,30,50.5,50.5,84625,74625,1000,1000,22,22,Vertikální,4.79
13103,16.0294,16.1019,49.4583,49.4856,30,30,50.5,50.5,71625,81625,1000,1000,23,23,Vertikální,6.05
13104,15.0381,15.0422,50.7831,50.7822,13,42,43.5,43.5,71500,81500,250,250,18,18,Vertikální,0.31
13105,15.4889,15.5506,49.7128,49.7119,20,25,50.5,50.5,81625,71625,1000,1000,23,23,Vertikální,4.43
13106,14.3922,14.3961,50.1119,50.1247,15,30,46,46,85750,75750,250,250,11,11,Horizontální,1.45
13107,15.2114,15.2164,49.4392,49.4353,12,42,43.5,43.5,71250,81250,250,250,11,11,Vertikální,0.56
13108,16.3411,16.3622,49.5908,49.5794,45,12,50.5,43.8,71625,81625,1000,1000,14,14,Vertikální,1.98
13109,15.5819,15.5708,49.4067,49.4108,13,35,43.5,43.5,85750,75750,250,250,18,18,Vertikální,0.93
13110,15.1686,15.1672,50.7389,50.735,14,36,43.5,43.5,81250,71250,250,250,18,18,Vertikální,0.44
13111,14.0603,14.0317,49.9564,49.9511,13,37,43.5,43.5,85750,75750,250,250,16,16,Horizontální,2.13
13112,17.9283,17.8958,49.9467,49.9428,25,45,43.5,43.5,71250,81250,250,250,15,15,Vertikální,2.37
13113,14.0506,14.0406,49.9864,49.9989,20,28,43.8,43.8,81250,71250,250,250,18,18,Vertikální,1.56
13114,17.5056,17.5139,49.1725,49.1714,50,20,43.5,43.5,85375,75375,500,500,13,13,Vertikální,0.62
13115,14.3558,14.3489,50.0539,50.0517,9,43,46,46,73000,83000,250,250,11,11,Horizontální,0.55
13116,18.5289,18.5289,49.7147,49.7139,50,17,43.5,43.5,85750,75750,250,250,18,18,Vertikální,0.09
13117,17.2328,17.2197,49.5719,49.5686,16,32,43.5,43.5,75750,85750,250,250,18,18,Vertikální,1.01
13118,14.6944,14.7331,49.1836,49.2147,25,40,50.5,50.5,84500,74500,750,750,18,18,Vertikální,4.45
13119,18.6019,18.6133,49.7522,49.75,25,40,43.5,43.5,75750,85750,250,250,18,18,Vertikální,0.85
13120,18.6614,18.6786,49.6728,49.6683,31,50,46,46,74625,84625,1000,1000,13,13,Vertikální,1.33
13121,18.6039,18.6133,49.7425,49.75,22,37,46,46,84625,74625,1000,1000,13,13,Vertikální,1.07
